Face-to-Face,Primary,,,Secondary,,,,
Tuition Partner,Literacy,Numeracy,Science,Maths,English ,Science,MF Languages,Humanities
The Tutor Trust,"Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ","Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ","Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ","Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ","Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ","Liverpool, Halton, Knowsley, Sefton, Wirral, St. Helens, Bolton, Bury, Manchester, Stockport, Trafford, Wigan, Salford, Tameside, Oldham, Rochdale, Leeds, Bradford ",,
Tutor Doctor Bristol,"Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire","Bristol, Bath, North Somerset, South Gloucestershire, Gloucestershire, Wiltshire"
Action Tutoring,,,,"Birmingham,Bristol,Liverpool,Camden,Greenwich,Hackney,Hammersmith and Fulham,Islington,Kensington and Chelsea,Lambeth,Lewisham,Southwark,Tower Hamlets,Westminster,Gateshead Borough,North Tyneside Borough,Newcastle Upon Tyne,Nottinghamshire,Nottingham,Sheffield,Brighton and Hove,East Sussex,Wirral Borough","Birmingham,Bristol,Liverpool,Camden,Greenwich,Hackney,Hammersmith and Fulham,Islington,Kensington and Chelsea,Lambeth,Lewisham,Southwark,Tower Hamlets,Westminster,Gateshead Borough,North Tyneside Borough,Newcastle Upon Tyne,Nottinghamshire,Nottingham,Sheffield,Brighton and Hove,East Sussex,Wirral Borough",,,
